road_id,morning_peak_veh_h,afternoon_veh_h,evening_peak_veh_h,night_veh_h
1-3,2800,1500,2600,800
1-8,2200,1200,2100,600
2-3,2700,1400,2500,700
2-5,3000,1600,2800,650
3-5,3200,1700,3100,800
3-6,1800,1400,1900,500
3-9,2400,1300,2200,550
3-10,2300,1200,2100,500
4-2,3600,1800,3300,750
4-14,2800,1600,2600,600
5-11,2900,1500,2700,650
6-9,1700,1300,1800,450
7-8,3200,1700,3000,700
7-15,2800,1500,2600,600
8-10,2000,1100,1900,450
8-12,2400,1300,2200,500
9-10,1800,1200,1700,400
10-11,2200,1300,2100,500
11-F2,2100,1200,2000,450
12-1,2600,1400,2400,550
13-4,3800,2000,3500,800
14-13,3600,1900,3300,750
15-7,2800,1500,2600,600
F1-5,3300,2200,3100,1200
F1-2,3000,2000,2800,1100
F2-3,1900,1600,1800,900
F7-15,2600,1500,2400,550
F8-4,2800,1600,2600,600
